timestamp,power,heat
1613343600,2846,0
1613344500,2684,0
1613345400,2695,0
1613346300,2788,0
1613347200,2755,0
1613348100,2774,0
1613349000,2592,0
1613349900,2853,0
1613350800,2713,0
1613351700,3412,0
1613352600,2726,0
1613353500,2799,0
1613354400,2754,0
1613355300,2632,0
1613356200,2767,0
1613357100,2742,0
1613358000,2728,0
1613358900,2664,0
1613359800,1626,0
1613360700,548,0
1613361600,548,0
1613362500,479,0
1613363400,379,0
1613364300,1075,0
1613365200,456,0
1613366100,431,395
1613367000,289,395
1613367900,569,395
1613368800,397,395
1613369700,465,390
1613370600,449,339
1613371500,409,324
1613372400,417,323
1613373300,459,322
1613374200,594,322
1613375100,483,322
1613376000,550,322
1613376900,526,322
1613377800,506,322
1613378700,513,322
1613379600,347,309
1613380500,528,0
1613381400,328,0
1613382300,370,0
1613383200,396,0
1613384100,393,0
1613385000,284,0
1613385900,526,0
1613386800,386,0
1613387700,417,48
1613388600,298,247
1613389500,511,115
1613390400,353,110
1613391300,383,112
1613392200,450,114
1613393100,441,114
1613394000,399,113
1613394900,349,115
1613395800,481,118
1613396700,426,114
1613397600,566,109
1613398500,457,109
1613399400,538,114
1613400300,322,119
1613401200,452,130
1613402100,401,133
1613403000,338,136
1613403900,502,135
1613404800,298,140
1613405700,559,395
1613406600,424,387
1613407500,439,0
1613408400,458,0
1613409300,469,0
1613410200,432,0
1613411100,466,169
1613412000,442,206
1613412900,375,152
1613413800,547,395
1613414700,288,388
1613415600,591,386
1613416500,413,380
1613417400,459,0
1613418300,393,0
1613419200,448,0
1613420100,468,0
1613421000,406,0
1613421900,488,391
1613422800,1556,395
1613423700,1599,395
1613424600,1633,395
1613425500,2619,380
1613426400,2229,331
1613427300,1399,0
1613428200,1795,0
1613429100,2684,0
1613430000,2754,0
1613430900,2643,0
1613431800,2768,0
1613432700,2678,0
1613433600,2609,0
1613434500,2850,0
1613435400,2668,0
1613436300,3339,0
1613437200,2929,0
1613438100,2675,0
1613439000,2734,0
1613439900,2602,0
1613440800,2765,0
1613441700,2579,0
1613442600,2821,0
1613443500,2718,0
1613444400,2892,0
1613445300,2424,0
1613446200,1452,0
1613447100,814,0
1613448000,878,0
1613448900,536,0
1613449800,315,0
1613450700,578,0
1613451600,437,0
1613452500,458,395
1613453400,474,395
1613454300,495,395
1613455200,406,395
1613456100,514,379
1613457000,561,330
1613457900,294,321
1613458800,604,320
1613459700,453,320
1613460600,424,320
1613461500,473,319
1613462400,524,319
1613463300,529,319
1613464200,472,319
1613465100,580,319
1613466000,327,261
